variant,replicate,max_t,observed_max_t
destruction_shuffle,0,3.0560642789482966,2.6017278529174916
destruction_shuffle,1,2.470204282995942,2.6017278529174916
destruction_shuffle,2,2.665042585118276,2.6017278529174916
destruction_shuffle,3,2.8400614943335896,2.6017278529174916
destruction_shuffle,4,1.996741044302595,2.6017278529174916
destruction_shuffle,5,1.2780071861656774,2.6017278529174916
destruction_shuffle,6,1.5762507733431277,2.6017278529174916
destruction_shuffle,7,2.2432156590369603,2.6017278529174916
destruction_shuffle,8,2.591310735681399,2.6017278529174916
destruction_shuffle,9,2.0546076542607894,2.6017278529174916
destruction_shuffle,10,2.033376258226151,2.6017278529174916
destruction_shuffle,11,1.0940353711968678,2.6017278529174916
destruction_shuffle,12,1.7563630521422857,2.6017278529174916
destruction_shuffle,13,1.4585258717119072,2.6017278529174916
destruction_shuffle,14,3.544930742950248,2.6017278529174916
destruction_shuffle,15,2.0936324064192653,2.6017278529174916
destruction_shuffle,16,3.084939044078407,2.6017278529174916
destruction_shuffle,17,2.6649716652642716,2.6017278529174916
destruction_shuffle,18,1.9776209229738522,2.6017278529174916
destruction_shuffle,19,3.696284132238179,2.6017278529174916
destruction_shuffle,20,2.2686674064178134,2.6017278529174916
destruction_shuffle,21,2.115781077538849,2.6017278529174916
destruction_shuffle,22,2.629424477044334,2.6017278529174916
destruction_shuffle,23,2.4622679475780713,2.6017278529174916
destruction_shuffle,24,1.5850638703367874,2.6017278529174916
destruction_shuffle,25,3.079227258501875,2.6017278529174916
destruction_shuffle,26,3.2818610941440776,2.6017278529174916
destruction_shuffle,27,2.188843134634174,2.6017278529174916
destruction_shuffle,28,2.8337899938955764,2.6017278529174916
destruction_shuffle,29,2.122372800763915,2.6017278529174916
destruction_shuffle,30,2.5976983750618174,2.6017278529174916
destruction_shuffle,31,1.681753044919342,2.6017278529174916
destruction_shuffle,32,2.1686548637118523,2.6017278529174916
destruction_shuffle,33,2.2549131818808728,2.6017278529174916
destruction_shuffle,34,2.5934856356559384,2.6017278529174916
destruction_shuffle,35,3.790982003999874,2.6017278529174916
destruction_shuffle,36,2.301009775549105,2.6017278529174916
destruction_shuffle,37,3.59886975404616,2.6017278529174916
destruction_shuffle,38,2.4586599465573484,2.6017278529174916
destruction_shuffle,39,3.786114645512229,2.6017278529174916
destruction_shuffle,40,1.2319777577402133,2.6017278529174916
destruction_shuffle,41,1.983016961812988,2.6017278529174916
destruction_shuffle,42,2.9745278143067244,2.6017278529174916
destruction_shuffle,43,2.290356442269951,2.6017278529174916
destruction_shuffle,44,1.8173051781722522,2.6017278529174916
destruction_shuffle,45,1.939575324922744,2.6017278529174916
destruction_shuffle,46,2.1496192797891354,2.6017278529174916
destruction_shuffle,47,2.6510446687446376,2.6017278529174916
destruction_shuffle,48,3.015841003507721,2.6017278529174916
destruction_shuffle,49,1.6661635805635722,2.6017278529174916
destruction_shuffle,50,2.2116889208675623,2.6017278529174916
destruction_shuffle,51,3.2474260975999805,2.6017278529174916
destruction_shuffle,52,2.568040936197188,2.6017278529174916
destruction_shuffle,53,3.0374553859514672,2.6017278529174916
destruction_shuffle,54,2.306807957028397,2.6017278529174916
destruction_shuffle,55,3.0585667034605435,2.6017278529174916
destruction_shuffle,56,2.586662096909582,2.6017278529174916
destruction_shuffle,57,1.7650794914537697,2.6017278529174916
destruction_shuffle,58,3.0585480836015204,2.6017278529174916
destruction_shuffle,59,2.6233631626176175,2.6017278529174916
destruction_shuffle,60,2.662129541586928,2.6017278529174916
destruction_shuffle,61,2.3320227595727614,2.6017278529174916
destruction_shuffle,62,1.6233714033379179,2.6017278529174916
destruction_shuffle,63,2.1660711200019382,2.6017278529174916
destruction_shuffle,64,2.1831266111624417,2.6017278529174916
destruction_shuffle,65,2.8521560964935424,2.6017278529174916
destruction_shuffle,66,2.4788646692260774,2.6017278529174916
destruction_shuffle,67,2.6613551594280778,2.6017278529174916
destruction_shuffle,68,2.3630310126801173,2.6017278529174916
destruction_shuffle,69,3.0362084803580074,2.6017278529174916
destruction_shuffle,70,1.6671409550786946,2.6017278529174916
destruction_shuffle,71,2.7876793169973353,2.6017278529174916
destruction_shuffle,72,3.2386419808464293,2.6017278529174916
destruction_shuffle,73,3.0140629033264648,2.6017278529174916
destruction_shuffle,74,3.520698263846069,2.6017278529174916
destruction_shuffle,75,1.7905067774608034,2.6017278529174916
destruction_shuffle,76,1.7442588811233342,2.6017278529174916
destruction_shuffle,77,2.236912224158602,2.6017278529174916
destruction_shuffle,78,1.3632397795271833,2.6017278529174916
destruction_shuffle,79,1.017134846666386,2.6017278529174916
destruction_shuffle,80,2.5962077801347965,2.6017278529174916
destruction_shuffle,81,2.1480808305855383,2.6017278529174916
destruction_shuffle,82,2.5781824538041063,2.6017278529174916
destruction_shuffle,83,3.454048628644628,2.6017278529174916
destruction_shuffle,84,2.4790663426710844,2.6017278529174916
destruction_shuffle,85,2.0566952184503444,2.6017278529174916
destruction_shuffle,86,2.995504349252316,2.6017278529174916
destruction_shuffle,87,2.4770995835571137,2.6017278529174916
