cal_date,break_dir,orb_size,entry_price,stop_price,target_price,risk_points,outcome,pnl_r,year
2024-05-07,short,7.25,18170.0,18178.0,18150.0,8.0,loss,-1.0,2024
2024-05-08,long,4.0,18210.5,18206.0,18221.75,4.5,loss,-1.0,2024
2024-05-10,short,5.25,18229.5,18235.0,18215.75,5.5,win,1.802,2024
2024-05-13,short,7.25,18256.0,18263.25,18237.88,7.25,loss,-1.0,2024
2024-05-21,short,5.25,18751.25,18756.5,18738.12,5.25,loss,-1.0,2024
2024-05-23,long,5.25,18870.25,18863.5,18887.12,6.75,win,1.9095,2024
2024-05-24,short,5.75,18716.25,18723.25,18698.75,7.0,loss,-1.0,2024
2024-05-27,short,5.0,18846.25,18852.0,18831.88,5.75,loss,-1.0,2024
2024-05-28,long,9.0,18903.5,18894.0,18927.25,9.5,win,2.0589,2024
2024-05-29,long,5.75,18912.5,18906.0,18928.75,6.5,loss,-1.0,2024
2024-05-30,long,8.75,18720.0,18710.75,18743.12,9.25,loss,-1.0,2024
2024-05-31,long,28.75,18554.25,18522.75,18633.0,31.5,loss,-1.0,2024
2024-06-03,short,10.5,18632.5,18643.25,18605.62,10.75,loss,-1.0,2024
2024-06-04,short,8.25,18665.25,18674.0,18643.38,8.75,win,2.0262,2024
2024-06-05,short,4.0,18728.0,18732.5,18716.75,4.5,loss,-1.0,2024
2024-06-06,short,7.25,19082.0,19089.0,19064.5,7.0,loss,-1.0,2024
2024-06-07,short,4.0,19078.5,19082.0,19069.75,3.5,loss,-1.0,2024
2024-06-10,short,4.25,19028.0,19034.75,19011.12,6.75,loss,-1.0,2024
2024-06-11,long,4.5,19084.75,19080.0,19096.62,4.75,loss,-1.0,2024
2024-06-12,long,4.25,19248.0,19243.25,19259.88,4.75,win,1.7165,2024
2024-06-13,long,6.75,19623.5,19615.25,19644.12,8.25,loss,-1.0,2024
2024-06-14,long,4.75,19617.5,19612.0,19631.25,5.5,win,1.802,2024
2024-06-17,short,8.25,19949.25,19959.75,19923.0,10.5,loss,-1.0,2024
2024-06-18,short,5.25,20172.75,20187.0,20137.12,14.25,loss,-1.0,2024
2024-06-19,long,4.25,20215.25,20210.5,20227.12,4.75,win,1.7165,2024
2024-06-20,long,5.0,20255.0,20250.25,20266.88,4.75,loss,-1.0,2024
2024-06-21,short,9.75,20034.75,20045.5,20007.88,10.75,loss,-1.0,2024
2024-06-24,short,6.0,20004.25,20011.0,19987.38,6.75,win,1.9095,2024
2024-06-25,long,6.0,19757.75,19751.25,19774.0,6.5,loss,-1.0,2024
2024-06-26,short,5.5,19989.0,19994.5,19975.25,5.5,loss,-1.0,2024
2024-06-27,long,11.5,19906.5,19893.5,19939.0,13.0,win,2.1663,2024
2024-06-28,long,6.0,20089.75,20082.75,20107.25,7.0,win,1.9271,2024
2024-07-01,long,8.75,19986.25,19976.0,20011.88,10.25,loss,-1.0,2024
2024-07-02,short,8.75,19980.75,19990.75,19955.75,10.0,loss,-1.0,2024
2024-07-03,long,5.75,20246.25,20240.5,20260.62,5.75,loss,-1.0,2024
2024-07-05,long,4.5,20407.25,20401.5,20421.62,5.75,loss,-1.0,2024
2024-07-08,short,9.25,20581.75,20591.0,20558.62,9.25,loss,-1.0,2024
2024-07-09,long,4.25,20731.5,20726.0,20745.25,5.5,loss,-1.0,2024
2024-07-11,short,4.5,20857.5,20862.5,20845.0,5.0,loss,-1.0,2024
2024-07-12,long,8.5,20441.25,20431.5,20465.62,9.75,loss,-1.0,2024
2024-07-15,long,5.25,20574.0,20568.5,20587.75,5.5,loss,-1.0,2024
2024-07-16,long,6.5,20635.0,20627.75,20653.12,7.25,loss,-1.0,2024
2024-07-17,short,11.5,20550.75,20564.75,20515.75,14.0,win,2.188,2024
2024-07-18,long,12.0,20066.5,20053.0,20100.25,13.5,loss,-1.0,2024
2024-07-19,short,8.5,19947.0,19955.5,19925.75,8.5,loss,-1.0,2024
2024-07-22,short,12.0,19794.0,19813.0,19746.5,19.0,win,2.2646,2024
2024-07-23,long,14.0,19947.25,19932.75,19983.5,14.5,loss,-1.0,2024
2024-07-24,long,5.0,19829.25,19824.75,19840.5,4.5,loss,-1.0,2024
2024-07-25,long,7.5,19296.0,19287.0,19318.5,9.0,loss,-1.0,2024
2024-07-26,long,10.0,19056.5,19045.5,19084.0,11.0,win,2.1124,2024
2024-07-29,long,13.25,19308.0,19290.25,19352.38,17.75,loss,-1.0,2024
2024-07-30,short,10.25,19145.5,19159.75,19109.88,14.25,loss,-1.0,2024
2024-07-31,short,12.75,19072.0,19089.5,19028.25,17.5,loss,-1.0,2024
2024-08-01,short,24.25,19635.25,19666.25,19557.75,31.0,loss,-1.0,2024
2024-08-02,short,30.75,18874.5,18916.75,18768.88,42.25,loss,-1.0,2024
2024-08-05,short,80.75,18086.0,18182.75,17844.12,96.75,win,2.4511,2024
2024-08-06,long,33.25,18365.5,18324.0,18469.25,41.5,loss,-1.0,2024
2024-08-07,short,22.75,18145.75,18169.0,18087.62,23.25,loss,-1.0,2024
2024-08-08,long,31.5,17935.0,17893.5,18038.75,41.5,win,2.3882,2024
2024-08-09,long,29.0,18551.5,18511.0,18652.75,40.5,loss,-1.0,2024
2024-08-12,short,11.5,18594.75,18607.5,18562.88,12.75,loss,-1.0,2024
2024-08-13,short,7.5,18655.0,18675.25,18604.38,20.25,loss,-1.0,2024
2024-08-14,long,9.5,19112.5,19100.25,19143.12,12.25,win,2.1479,2024
2024-08-15,long,11.25,19168.75,19157.0,19198.12,11.75,loss,-1.0,2024
2024-08-16,short,8.75,19593.25,19602.25,19570.75,9.0,loss,-1.0,2024
2024-08-19,long,10.25,19656.75,19644.5,19687.38,12.25,loss,-1.0,2024
2024-08-20,short,5.75,19855.75,19868.0,19825.12,12.25,loss,-1.0,2024
2024-08-21,short,10.0,19818.0,19828.75,19791.12,10.75,loss,-1.0,2024
2024-08-22,short,7.75,19924.25,19935.0,19897.38,10.75,win,2.1044,2024
2024-08-23,long,15.25,19649.75,19634.25,19688.5,15.5,win,2.2158,2024
2024-08-26,long,13.5,19822.5,19805.75,19864.38,16.75,loss,-1.0,2024
2024-08-27,long,13.75,19567.75,19550.75,19610.25,17.0,loss,-1.0,2024
2024-08-28,long,5.5,19604.0,19598.25,19618.38,5.75,loss,-1.0,2024
2024-08-29,long,9.5,19250.0,19240.0,19275.0,10.0,loss,-1.0,2024
2024-08-30,short,14.5,19443.5,19458.75,19405.38,15.25,loss,-1.0,2024
2024-09-02,long,14.0,19624.5,19609.0,19663.25,15.5,loss,-1.0,2024
2024-09-03,long,10.75,19602.0,19587.75,19637.62,14.25,loss,-1.0,2024
2024-09-04,long,33.5,18864.75,18829.5,18952.88,35.25,loss,-1.0,2024
2024-09-05,short,11.5,18985.75,18998.75,18953.25,13.0,loss,-1.0,2024
2024-09-06,long,48.75,18849.0,18790.5,18995.25,58.5,loss,-1.0,2024
2024-09-09,long,24.75,18507.0,18479.75,18575.12,27.25,win,2.3325,2024
2024-09-10,long,14.75,18688.75,18673.5,18726.88,15.25,loss,-1.0,2024
2024-09-11,long,15.0,18815.0,18797.75,18858.12,17.25,loss,-1.0,2024
2024-09-12,long,16.0,19255.0,19237.25,19299.38,17.75,win,2.2492,2024
2024-09-13,short,14.75,19443.75,19459.0,19405.62,15.25,loss,-1.0,2024
2024-09-16,short,6.5,19752.25,19759.75,19733.5,7.5,win,1.9594,2024
2024-09-17,short,7.5,19645.0,19656.5,19616.25,11.5,loss,-1.0,2024
2024-09-18,long,8.75,19706.75,19696.0,19733.62,10.75,loss,-1.0,2024
2024-09-19,short,11.0,19715.25,19725.5,19689.62,10.25,win,2.0873,2024
2024-09-20,long,13.0,20048.75,20034.25,20085.0,14.5,loss,-1.0,2024
2024-09-23,long,14.75,20143.75,20126.0,20188.12,17.75,loss,-1.0,2024
2024-09-24,long,18.0,20078.25,20056.75,20132.0,21.5,loss,-1.0,2024
2024-09-25,long,6.5,20150.25,20140.25,20175.25,10.0,loss,-1.0,2024
2024-09-26,long,7.0,20303.25,20292.0,20331.38,11.25,loss,-1.0,2024
2024-09-27,short,14.75,20327.0,20342.0,20289.5,15.0,win,2.2071,2024
2024-09-30,short,25.75,20215.75,20248.0,20135.12,32.25,win,2.3574,2024
2024-10-01,long,6.75,20279.0,20269.25,20303.38,9.75,win,2.0688,2024
2024-10-02,long,11.75,19960.25,19947.0,19993.38,13.25,win,2.172,2024
2024-10-03,short,17.0,19975.5,20014.75,19877.38,39.25,win,2.382,2024
2024-10-04,short,9.5,19976.75,19987.75,19949.25,11.0,loss,-1.0,2024
2024-10-07,long,18.0,20232.25,20213.25,20279.75,19.0,loss,-1.0,2024
2024-10-08,short,13.25,20007.5,20021.25,19973.12,13.75,win,2.1829,2024
2024-10-09,short,7.25,20276.0,20284.0,20256.0,8.0,loss,-1.0,2024
2024-10-10,long,8.0,20458.0,20447.75,20483.62,10.25,loss,-1.0,2024
2024-10-11,long,5.5,20450.75,20444.5,20466.38,6.25,loss,-1.0,2024
2024-10-14,short,14.75,20401.5,20417.0,20362.75,15.5,loss,-1.0,2024
2024-10-15,long,11.75,20610.5,20598.75,20639.88,11.75,loss,-1.0,2024
2024-10-16,short,9.5,20348.0,20359.75,20318.62,11.75,loss,-1.0,2024
2024-10-17,long,6.25,20317.5,20309.5,20337.5,8.0,loss,-1.0,2024
2024-10-18,long,14.0,20367.75,20350.75,20410.25,17.0,win,2.239,2024
2024-10-21,long,8.5,20514.5,20505.5,20537.0,9.0,loss,-1.0,2024
2024-10-22,short,11.25,20469.25,20482.75,20435.5,13.5,loss,-1.0,2024
2024-10-23,long,13.0,20507.0,20492.0,20544.5,15.0,loss,-1.0,2024
2024-10-24,short,17.0,20317.0,20338.0,20264.5,21.0,loss,-1.0,2024
2024-10-25,long,7.0,20405.0,20396.75,20425.62,8.25,loss,-1.0,2024
2024-10-28,long,24.75,20638.75,20612.75,20703.75,26.0,loss,-1.0,2024
2024-10-29,short,8.5,20505.0,20514.25,20481.88,9.25,loss,-1.0,2024
2024-10-30,short,7.75,20759.0,20768.5,20735.25,9.5,loss,-1.0,2024
2024-10-31,long,14.25,20452.25,20437.0,20490.38,15.25,loss,-1.0,2024
2024-11-01,short,15.0,20063.0,20081.75,20016.12,18.75,loss,-1.0,2024
2024-11-04,long,7.25,20134.0,20125.75,20154.62,8.25,win,2.0016,2024
2024-11-05,short,23.75,20050.5,20077.25,19983.62,26.75,loss,-1.0,2024
2024-11-06,long,34.5,20415.5,20378.25,20508.62,37.25,win,2.3758,2024
2024-11-07,short,8.5,20869.75,20878.0,20849.12,8.25,loss,-1.0,2024
2024-11-08,long,9.0,21228.75,21215.5,21261.88,13.25,win,2.172,2024
2024-11-11,short,14.0,21268.25,21283.25,21230.75,15.0,loss,-1.0,2024
2024-11-12,long,12.75,21225.5,21210.5,21263.0,15.0,loss,-1.0,2024
2024-11-13,short,5.0,21142.25,21147.25,21129.75,5.0,loss,-1.0,2024
2024-11-14,short,20.25,21132.0,21153.25,21078.88,21.25,loss,-1.0,2024
2024-11-15,short,10.0,20912.75,20926.75,20877.75,14.0,loss,-1.0,2024
2024-11-18,short,9.5,20620.0,20630.0,20595.0,10.0,loss,-1.0,2024
2024-11-19,short,8.5,20617.5,20626.75,20594.38,9.25,loss,-1.0,2024
2024-11-20,short,10.0,20808.5,20820.25,20779.12,11.75,win,2.1345,2024
2024-11-21,long,22.5,20669.0,20645.0,20729.0,24.0,loss,-1.0,2024
2024-11-22,long,18.0,20790.0,20770.25,20839.38,19.75,win,2.273,2024
2024-11-25,long,11.25,20963.75,20952.0,20993.12,11.75,loss,-1.0,2024
2024-11-26,long,51.5,20808.75,20755.25,20942.5,53.5,win,2.4126,2024
2024-11-27,long,7.75,20990.75,20982.5,21011.38,8.25,win,2.0016,2024
2024-11-28,long,6.0,20848.75,20841.0,20868.12,7.75,loss,-1.0,2024
2024-11-29,long,17.25,20840.75,20822.25,20887.0,18.5,win,2.2587,2024
2024-12-02,long,10.25,20960.0,20949.25,20986.88,10.75,loss,-1.0,2024
2024-12-03,long,7.5,21213.0,21203.5,21236.75,9.5,win,2.0589,2024
2024-12-04,long,5.75,21325.5,21320.0,21339.25,5.5,win,1.802,2024
2024-12-05,long,4.5,21500.0,21495.0,21512.5,5.0,win,1.7473,2024
2024-12-06,long,7.0,21458.25,21449.75,21479.5,8.5,win,2.0142,2024
2024-12-09,long,19.0,21646.5,21627.0,21695.25,19.5,win,2.2702,2024
2024-12-10,short,9.25,21475.5,21485.0,21451.75,9.5,win,2.0589,2024
2024-12-11,long,7.0,21426.5,21419.5,21444.0,7.0,loss,-1.0,2024
2024-12-12,short,6.75,21749.75,21758.0,21729.12,8.25,loss,-1.0,2024
2024-12-13,long,7.5,21757.75,21749.25,21779.0,8.5,loss,-1.0,2024
2024-12-16,short,8.75,21800.0,21809.25,21776.88,9.25,loss,-1.0,2024
2024-12-17,long,6.5,22385.5,22378.5,22403.0,7.0,win,1.9271,2024
2024-12-18,long,8.25,22295.0,22286.0,22317.5,9.0,win,2.0376,2024
2024-12-19,short,22.0,21520.75,21550.0,21447.62,29.25,win,2.3434,2024
2024-12-20,short,19.25,21268.25,21295.25,21200.75,27.0,loss,-1.0,2024
2024-12-23,long,18.5,21629.25,21609.25,21679.25,20.0,win,2.2756,2024
2024-12-24,short,14.5,21721.25,21738.0,21679.38,16.75,loss,-1.0,2024
2024-12-26,long,12.75,22060.5,22045.25,22098.62,15.25,win,2.2115,2024
2024-12-27,short,9.75,21968.0,21977.75,21943.62,9.75,win,2.0688,2024
2024-12-30,short,12.0,21690.25,21712.5,21634.62,22.25,loss,-1.0,2024
2024-12-31,long,12.25,21381.75,21368.25,21415.5,13.5,win,2.1775,2024
2025-01-02,long,47.25,21284.75,21231.75,21417.25,53.0,win,2.4118,2025
2025-01-03,long,10.0,21245.0,21229.75,21283.12,15.25,loss,-1.0,2025
2025-01-06,short,11.0,21490.5,21503.25,21458.62,12.75,loss,-1.0,2025
2025-01-07,short,21.0,21748.0,21769.75,21693.62,21.75,loss,-1.0,2025
2025-01-08,short,10.25,21398.25,21415.25,21355.75,17.0,loss,-1.0,2025
2025-01-09,long,18.0,21323.75,21300.75,21381.25,23.0,loss,-1.0,2025
2025-01-10,long,29.25,21224.5,21194.0,21300.75,30.5,win,2.3495,2025
2025-01-13,short,14.5,20982.5,21002.75,20931.88,20.25,win,2.2782,2025
2025-01-14,short,22.25,21029.75,21053.25,20971.0,23.5,loss,-1.0,2025
2025-01-15,short,8.25,20953.0,20963.0,20928.0,10.0,win,2.0783,2025
2025-01-16,short,15.0,21407.75,21426.25,21361.5,18.5,loss,-1.0,2025
2025-01-17,long,19.75,21258.0,21237.75,21308.62,20.25,win,2.2782,2025
2025-01-20,long,24.5,21573.75,21548.0,21638.12,25.75,loss,-1.0,2025
2025-01-21,long,164.75,21547.5,21370.25,21990.62,177.25,scratch,-0.0077,2025
2025-01-22,short,20.0,21816.25,21836.75,21765.0,20.5,loss,-1.0,2025
2025-01-23,long,11.75,21963.25,21950.25,21995.75,13.0,loss,-1.0,2025
2025-01-24,long,8.0,22013.75,22004.0,22038.12,9.75,loss,-1.0,2025
2025-01-27,long,36.0,21600.0,21560.25,21699.38,39.75,loss,-1.0,2025
2025-01-28,long,11.0,21301.75,21285.75,21341.75,16.0,loss,-1.0,2025
2025-01-29,short,11.0,21554.75,21570.0,21516.62,15.25,loss,-1.0,2025
2025-01-30,short,10.25,21579.0,21591.5,21547.75,12.5,loss,-1.0,2025
2025-01-31,long,13.75,21710.25,21694.0,21750.88,16.25,loss,-1.0,2025
2025-02-03,short,24.25,21085.5,21122.0,20994.25,36.5,loss,-1.0,2025
2025-02-04,short,21.5,21515.5,21549.5,21430.5,34.0,win,2.3644,2025
2025-02-05,long,10.0,21607.0,21596.0,21634.5,11.0,loss,-1.0,2025
2025-02-06,short,11.75,21769.0,21782.75,21734.62,13.75,loss,-1.0,2025
2025-02-07,long,7.25,21871.5,21863.0,21892.75,8.5,loss,-1.0,2025
2025-02-10,short,14.25,21683.25,21700.0,21641.38,16.75,loss,-1.0,2025
2025-02-11,short,8.75,21801.75,21812.5,21774.88,10.75,win,2.1044,2025
2025-02-12,short,5.75,21799.75,21814.5,21762.88,14.75,loss,-1.0,2025
2025-02-13,short,11.0,21886.25,21899.25,21853.75,13.0,loss,-1.0,2025
2025-02-14,long,8.25,22107.75,22093.75,22142.75,14.0,win,2.188,2025
2025-02-17,long,9.5,22226.5,22215.5,22254.0,11.0,win,2.1124,2025
2025-02-18,long,5.25,22237.75,22231.5,22253.38,6.25,win,1.8707,2025
2025-02-19,short,6.75,22273.5,22280.75,22255.38,7.25,loss,-1.0,2025
2025-02-20,short,7.75,22219.5,22229.5,22194.5,10.0,win,2.0783,2025
2025-02-21,short,8.0,22150.75,22160.75,22125.75,10.0,win,2.0783,2025
2025-02-24,long,16.0,21773.0,21756.5,21814.25,16.5,loss,-1.0,2025
2025-02-25,short,26.5,21412.75,21448.0,21324.62,35.25,loss,-1.0,2025
2025-02-26,short,14.75,21234.75,21251.0,21194.12,16.25,loss,-1.0,2025
2025-02-27,short,14.75,21114.0,21140.0,21049.0,26.0,loss,-1.0,2025
2025-02-28,long,23.25,20643.0,20616.5,20709.25,26.5,loss,-1.0,2025
2025-03-03,long,48.75,20912.0,20863.25,21033.88,48.75,win,2.4043,2025
2025-03-04,short,35.75,20526.75,20570.75,20416.75,44.0,loss,-1.0,2025
2025-03-05,short,33.25,20507.25,20542.25,20419.75,35.0,loss,-1.0,2025
2025-03-06,long,19.0,20605.5,20585.25,20656.12,20.25,loss,-1.0,2025
2025-03-07,long,21.0,20183.25,20161.0,20238.88,22.25,loss,-1.0,2025
2025-03-10,long,31.0,20101.0,20060.5,20202.25,40.5,loss,-1.0,2025
2025-03-11,short,34.25,19185.5,19226.0,19084.25,40.5,loss,-1.0,2025
2025-03-12,short,17.0,19458.25,19478.5,19407.62,20.25,loss,-1.0,2025
2025-03-13,short,21.75,19632.5,19655.0,19576.25,22.5,loss,-1.0,2025
2025-03-14,long,11.75,19407.5,19394.25,19440.62,13.25,loss,-1.0,2025
2025-03-17,long,20.5,19627.25,19599.25,19697.25,28.0,loss,-1.0,2025
2025-03-18,long,9.75,20006.25,19995.5,20033.12,10.75,loss,-1.0,2025
2025-03-19,long,11.25,19781.25,19769.0,19811.88,12.25,loss,-1.0,2025
2025-03-20,short,5.25,20043.25,20048.75,20029.5,5.5,loss,-1.0,2025
2025-03-21,short,9.5,19907.75,19920.0,19877.12,12.25,loss,-1.0,2025
2025-03-24,short,10.75,20108.25,20124.25,20068.25,16.0,loss,-1.0,2025
2025-03-25,short,6.0,20360.5,20367.75,20342.38,7.25,loss,-1.0,2025
2025-03-26,short,6.5,20519.25,20526.5,20501.12,7.25,win,1.9437,2025
2025-03-27,long,10.75,20087.75,20070.5,20130.88,17.25,win,2.2425,2025
2025-03-28,short,9.0,19979.75,19989.0,19956.62,9.25,loss,-1.0,2025
2025-03-31,long,32.25,19247.25,19210.75,19338.5,36.5,loss,-1.0,2025
2025-04-01,short,19.25,19295.25,19322.0,19228.38,26.75,loss,-1.0,2025
2025-04-02,long,12.5,19579.0,19561.0,19624.0,18.0,loss,-1.0,2025
2025-04-03,long,39.5,19044.75,18994.5,19170.38,50.25,win,2.4071,2025
2025-04-04,short,18.0,18662.5,18686.0,18603.75,23.5,loss,-1.0,2025
2025-04-07,short,85.0,16737.75,16835.0,16494.62,97.25,loss,-1.0,2025
2025-04-08,long,51.75,17736.5,17662.5,17921.5,74.0,win,2.4364,2025
2025-04-09,long,35.25,16928.0,16889.5,17024.25,38.5,loss,-1.0,2025
2025-04-10,short,68.75,19209.0,19278.75,19034.62,69.75,win,2.4326,2025
2025-04-11,long,62.5,18224.0,18159.0,18386.5,65.0,win,2.4278,2025
2025-04-14,long,29.75,19026.25,18994.0,19106.88,32.25,loss,-1.0,2025
2025-04-15,long,12.75,18922.5,18907.75,18959.38,14.75,loss,-1.0,2025
2025-04-16,long,10.25,18682.25,18670.5,18711.62,11.75,win,2.1345,2025
2025-04-17,short,18.5,18470.25,18489.5,18422.12,19.25,loss,-1.0,2025
2025-04-21,short,14.75,18290.0,18310.0,18240.0,20.0,loss,-1.0,2025
2025-04-22,long,18.5,18011.0,17988.0,18068.5,23.0,win,2.3032,2025
2025-04-23,long,29.5,18718.5,18686.75,18797.88,31.75,loss,-1.0,2025
2025-04-24,short,25.0,18816.0,18850.0,18731.0,34.0,win,2.3644,2025
2025-04-25,long,9.25,19463.75,19452.5,19491.88,11.25,loss,-1.0,2025
2025-04-28,short,13.0,19405.75,19420.0,19370.12,14.25,loss,-1.0,2025
2025-04-29,long,11.5,19564.0,19551.75,19594.62,12.25,loss,-1.0,2025
2025-04-30,long,8.25,19534.75,19525.75,19557.25,9.0,loss,-1.0,2025
2025-05-01,short,13.25,19935.75,19951.75,19895.75,16.0,loss,-1.0,2025
2025-05-02,short,24.75,19919.75,19945.5,19855.38,25.75,loss,-1.0,2025
2025-05-05,short,22.25,20077.5,20103.5,20012.5,26.0,win,2.3248,2025
2025-05-06,short,11.0,19986.5,19997.0,19960.25,10.5,loss,-1.0,2025
2025-05-07,short,32.0,20071.0,20107.0,19981.0,36.0,win,2.3717,2025
2025-05-08,long,39.25,20067.75,20012.75,20205.25,55.0,win,2.4149,2025
2025-05-09,long,12.75,20130.0,20117.0,20162.5,13.0,win,2.1663,2025
2025-05-12,long,30.5,20519.5,20488.75,20596.38,30.75,win,2.3507,2025
2025-05-13,short,10.5,20867.25,20882.0,20830.38,14.75,loss,-1.0,2025
2025-05-14,short,14.75,21252.5,21268.0,21213.75,15.5,loss,-1.0,2025
2025-05-15,short,18.75,21377.25,21397.5,21326.62,20.25,loss,-1.0,2025
2025-05-16,long,13.5,21368.75,21355.0,21403.12,13.75,loss,-1.0,2025
2025-05-19,short,15.75,21290.75,21307.5,21248.88,16.75,loss,-1.0,2025
2025-05-20,short,29.25,21480.0,21514.0,21395.0,34.0,win,2.3644,2025
2025-05-21,long,24.25,21430.0,21404.75,21493.12,25.25,loss,-1.0,2025
2025-05-22,short,21.0,21187.5,21208.5,21135.0,21.0,loss,-1.0,2025
2025-05-23,short,23.75,21175.75,21201.25,21112.0,25.5,loss,-1.0,2025
2025-05-26,long,20.5,21188.5,21167.0,21242.25,21.5,win,2.2903,2025
2025-05-27,short,31.75,21203.5,21240.5,21111.0,37.0,loss,-1.0,2025
2025-05-28,short,6.5,21468.75,21475.75,21451.25,7.0,loss,-1.0,2025
